First Name,Last Name,Email,Phone,City,Company,Lead Source,Status,Created Date,,,,,,,
Ron,Dahan,RONDAHAN@WALLA.CO.IL,0553384080,Petah Tikva,Globex Inc,Website,ACTIVE,20.4.2025,,,,,,,
Nir,Peretz,nir.peretz@gmail.com,0512458591,Rishon Lezion,Delta Systems,,INACTIVE,15.4.2025,,,,,,,
Yossi,Toledano,ytoledano@outlook.com,0591226185,,N/A,Referral,IN PROGRESS,4.8.2025,,,,,,,
Adi,Peretz,adiperetz@outlook.com,0562376119,Petah Tikva,Nexus Israel,Social Media,ACTIVE,18.11.2025,,,,,,,
Adi,Marom,adimarom@yahoo.com,0539950391,Petah Tikva,Sela Group,Social Media,ACTIVE,8.4.2025,,,,,,,
Sarah,Sasson,SARAHSASSON@YAHOO.COM,0516031885,Herzliya,Acme Ltd,Cold Call,ACTIVE,27.3.2025,,,,,,,
Liat,Amar,liat.amar@gmail.com,0542693039,Jerusalem,,,ACTIVE,12.12.2025,,,,,,,
Omer,Peretz,omer.peretz@gmail.com,01154416,Ramat Gan,Delta Systems,REFERRAL,ACTIVE,12.10.2025,,,,,,,
Shira,Malka,smalka@walla.co.il,0583895066,Herzliya,,website,ACTIVE,5.4.2025,,,,,,,
David,Azoulay,dazoulay@gmail.com,03441119,Haifa,Delta Systems,Referral,INACTIVE,27.2.2025,,,,,,,
Dana,Friedman,dfriedman@outlook.com,0529087068,,Globex Inc,,ACTIVE,11.12.2025,,,,,,,
Guy,Gabai,guygabai@gmail.com,08144678,Jerusalem,Globex Inc,REFERRAL,ACTIVE,28.4.2025,,,,,,,
Sarah,Levi,sarahlevi@outlook.com,0579993490,Holon,StartUp Co.,,ACTIVE,22.3.2025,,,,,,,
Itai,Shapiro,itai.shapiro@gmail.com,0525442007,Haifa,TechCo,Website,ACTIVE,23.11.2025,,,,,,,
David,Peretz,davidperetz@hotmail.com,0597653688,Netanya,TechCo,,INACTIVE,22.10.2025,,,,,,,
Amit,Toledano  ,,0562709243,Haifa,StartUp Co.,Referral,ACTIVE,12.10.2025,,,,,,,
Michal,Katz,MICHAL.KATZ@WALLA.CO.IL,0533276507,Petah Tikva,Delta Systems,,ACTIVE,2.11.2025,,,,,,,
Dor,Biton,dorbiton@hotmail.com,0525579824,Netanya,Delta Systems,,ACTIVE,11.8.2025,,,,,,,
Amit,Marom,amit.marom@yahoo.com,02626251,Ramat Gan,Globex Inc,website,CLOSED,16.7.2025,,,,,,,
Dana,Marom,dmarom@yahoo.com,0512507974,Ramat Gan,Acme Ltd,,ACTIVE,16.3.2025,,,,,,,
Shani,Peretz,speretz@hotmail.com,0533705263,Haifa,,Cold Call,ACTIVE,6.1.2025,,,,,,,
Moshe,Gabai,moshe.gabai@outlook.com,04485113,Ramat Gan,Globex Inc,Website,IN PROGRESS,21.7.2025,,,,,,,
Shira,Katz,skatz@outlook.com,0596734129,Netanya,Acme Ltd,Event,ACTIVE,12.8.2025,,,,,,,
Eli,Avraham,eavraham@walla.co.il,0554296204,Herzliya,Acme Ltd.,website,ACTIVE,9.9.2025,,,,,,,
Avi,Gabai,avi.gabai@hotmail.com,0551397267,Holon,,Referral,CLOSED,8.2.2025,,,,,,,
Uri,Mizrahi,urimizrahi@outlook.com,0,Ramat Gan,TechCo,Social Media,ACTIVE,1.8.2025,,,,,,,
Gal,Shapiro,gshapiro@gmail.com,04846677,Netanya,StartUp Co.,Event,IN PROGRESS,2.1.2025,,,,,,,
Michal,Cohen,mcohen@walla.co.il,08592725,Tel Aviv,,REFERRAL,CLOSED,1.8.2025,,,,,,,
Yossi,Shapiro,yossishapiro@gmail.com,08949398,Holon,TechCo,,IN PROGRESS,2.4.2025,,,,,,,
Rachel,Biton,rbiton@outlook.com,03905483,Haifa,N/A,Social Media,ACTIVE,2.10.2025,,,,,,,
Roni,Sasson,roni.sasson@yahoo.com,0531026523,Haifa,Acme Ltd.,Website,IN PROGRESS,12.6.2025,,,,,,,
Tal,Rosenberg,trosenberg@outlook.com,0547043474,Herzliya,N/A,Social Media,ACTIVE,18.10.2025,,,,,,,
Dor,Avraham,dor.avraham@outlook.com,06774938,Beer Sheva,Nexus Israel,Referral,INACTIVE,14.12.2025,,,,,,,
Tal,Biton,,02979745,Rishon Lezion,,Referral,ACTIVE,15.8.2025,,,,,,,
Dor,Amar,dor.amar@yahoo.com,0512495511,Netanya,Nexus Israel,Website,IN PROGRESS,2.5.2025,,,,,,,
Yossi,Levi,,0594262081,Haifa,StartUp Co.,Cold Call,IN PROGRESS,17.12.2025,,,,,,,
Sarah,Biton,sarahbiton@outlook.com,0588691004,Holon,Acme Ltd.,Referral,ACTIVE,21.6.2025,,,,,,,
Dor,Marom,dor.marom@walla.co.il,0519734558,Tel Aviv,,Referral,CLOSED,24.9.2025,,,,,,,
Tamar,Cohen  ,tcohen@outlook.com,0552501223,Netanya,,Referral,ACTIVE,16.3.2025,,,,,,,
Omer,Avraham,omer.avraham@hotmail.com,0593067274,Rishon Lezion,Nexus Israel,Social Media,IN PROGRESS,25.9.2025,,,,,,,
Shira,Sasson,ssasson@walla.co.il,0541381431,Jerusalem,Sela Group,Event,INACTIVE,5.2.2025,,,,,,,
Ron,Amar,ron.amar@yahoo.com,0,Petah Tikva,TechCo,REFERRAL,ACTIVE,2.11.2025,,,,,,,
Amit,Avraham,aavraham@gmail.com,0529535334,Jerusalem,Globex Inc,Event,ACTIVE,7.8.2025,,,,,,,
Hila,Malka,hmalka@yahoo.com,0533997984,Herzliya,Globex Inc,Social Media,IN PROGRESS,16.1.2025,,,,,,,
Shira,Gabai  ,sgabai@hotmail.com,0553524629,,TechCo,REFERRAL,ACTIVE,15.8.2025,,,,,,,
David,Dahan,ddahan@outlook.com,0501666934,Netanya,N/A,website,ACTIVE,17.4.2025,,,,,,,
Shira,Ben-David,sben-david@walla.co.il,08350239,Holon,TechCo,Social Media,ACTIVE,4.8.2025,,,,,,,
Roni,Katz,roni.katz@yahoo.com,0,Holon,StartUp Co.,Cold Call,ACTIVE,7.7.2025,,,,,,,
Liat,Toledano,LIAT.TOLEDANO@WALLA.CO.IL,0546143043,Tel Aviv,Acme Ltd.,,CLOSED,12.6.2025,,,,,,,
Nir,Mizrahi,nmizrahi@walla.co.il,0579712929,Tel Aviv,Sela Group,Event,ACTIVE,4.9.2025,,,,,,,
Eli,Amar,eliamar@walla.co.il,0565668371,Netanya,Globex Inc,Website,INACTIVE,8.1.2025,,,,,,,
Nir,Elbaz,nelbaz@gmail.com,04479464,Ramat Gan,,Event,INACTIVE,9.8.2025,,,,,,,
Tal,Peretz,tal.peretz@outlook.com,0571576165,Tel Aviv,Nexus Israel,Website,ACTIVE,15.9.2025,,,,,,,
Tamar,Levi,tamarlevi@outlook.com,0,Tel Aviv,,,ACTIVE,17.1.2025,,,,,,,
Avi,Katz,avikatz@outlook.com,08357097,Ramat Gan,Acme Ltd,REFERRAL,IN PROGRESS,7.12.2025,,,,,,,
Liat,Marom,liatmarom@hotmail.com,0584936902,Haifa,,Cold Call,ACTIVE,3.1.2025,,,,,,,
Roni,Dahan,rdahan@yahoo.com,0585215097,Rishon Lezion,Acme Ltd,REFERRAL,CLOSED,6.7.2025,,,,,,,
Yossi,Toledano,ytoledano@walla.co.il,04383069,Jerusalem,N/A,Website,INACTIVE,15.3.2025,,,,,,,
Michal,Rosenberg,michal.rosenberg@walla.co.il,0502402399,Petah Tikva,Nexus Israel,Website,ACTIVE,12.11.2025,,,,,,,
Yael,Shapiro,yael.shapiro@hotmail.com,0,Tel Aviv,StartUp Co.,Referral,ACTIVE,24.1.2025,,,,,,,
Ron,Toledano,rtoledano@walla.co.il,04782188,Netanya,Nexus Israel,Website,ACTIVE,5.3.2025,,,,,,,
Liat,Toledano,ltoledano@gmail.com,0537890994,Tel Aviv,TechCo,Event,CLOSED,7.12.2025,,,,,,,
Shani,Cohen  ,scohen@hotmail.com,0515558082,Beer Sheva,TechCo,website,ACTIVE,22.12.2025,,,,,,,
Noa,Shapiro,nshapiro@walla.co.il,0549105487,Beer Sheva,Sela Group,Social Media,ACTIVE,12.1.2025,,,,,,,
Shani,Peretz,shaniperetz@hotmail.com,0551332781,Haifa,N/A,REFERRAL,ACTIVE,17.11.2025,,,,,,,
Gal,Ben-David,gben-david@hotmail.com,0563121306,Tel Aviv,,website,ACTIVE,20.8.2025,,,,,,,
Shani,Peretz,speretz@yahoo.com,0533019277,Ramat Gan,Sela Group,website,ACTIVE,4.9.2025,,,,,,,
Roni,Katz,ronikatz@walla.co.il,02621715,Haifa,Sela Group,Referral,ACTIVE,3.7.2025,,,,,,,
Omer,Avraham,omer.avraham@gmail.com,0,Rishon Lezion,Acme Ltd,website,ACTIVE,17.4.2025,,,,,,,
